Date,Earning,Market,Value,Commission,Tax
2015-12-31,80460.04,154416.11,303527.24,2637.37,2089.18
2016-01-31,42969.14,334319.1,500536.34,3075.2,2309.85
2016-02-29,59949.39,368016.18,517516.59,3199.54,2437.79
2016-03-31,89684.44,341205.37,547251.64,3355.16,2659.66
2016-04-30,98631.67,335968.62,556198.87,3562.61,2859.11
2016-05-31,108248.02,374387.36,565815.22,3940.31,3183.09
2016-06-30,117456.16,507800.0,575023.36,4475.62,4210.46
2016-07-31,137879.94,502760.0,595447.14,4661.72,4713.24
2016-08-31,165959.28,455005.0,623526.48,4977.47,5109.0
2016-09-30,172816.6,513743.0,630383.8,5143.05,5264.17
2016-10-31,153794.0,446108.0,611361.2,5423.43,5637.9
2016-11-30,197315.22,609262.0,654882.42,5705.94,5917.19
2016-12-31,183133.57,481140.0,640700.77,5999.1,6251.13
2017-01-31,198318.65,431184.0,655885.85,6121.19,6483.43
2017-02-28,247990.96,630086.0,705558.16,6459.18,6885.16
2017-03-31,303123.68,726594.0,760690.88,6710.25,7112.39
2017-04-30,304784.18,734160.0,762351.38,7043.7,7592.61
2017-05-31,444814.37,913589.62,902381.57,7261.39,10129.74
2017-06-30,615751.85,948700.0,1073319.05,7552.99,10717.12
2017-07-31,824358.52,1206840.0,1281925.72,7700.88,11184.25
2017-08-31,935979.53,1119185.0,1393546.73,8128.2,11919.94
2017-09-30,1300621.08,1643410.0,1758188.28,8453.7,12395.98
2017-10-31,1465657.87,1659090.0,1923225.07,9330.96,14482.98
2017-11-30,1391113.26,1485621.83,1848680.46,9780.27,15440.81
2017-12-31,1413425.31,1174820.0,1513992.51,10353.32,16148.82
